review,rating,date,bank,source,sentiment_score,sentiment
nice app suitable to use it. the only weak side is it need data connections and hoping will be fixed to offline i gave 4 rate,4,4/5/2025,Commercial Bank of Ethiopia,Google Play,0.296,Positive
easy to use,5,4/5/2025,Commercial Bank of Ethiopia,Google Play,0.4404,Positive
"Good job to the CBE team on this mobile app! It's designed in a way that's simple and intuitive to navigate, which is great for everyone. It effectively handles the essential banking tasks I need to perform regularly. It's a practical and reliable tool that makes everyday banking much more convenient. Thank you for this useful application.",5,4/4/2025,Commercial Bank of Ethiopia,Google Play,0.9464,Positive
·??·?? ·?†·?£·?ù ·?ù·?≠·?• ·?ê·?ç ·?ç·?? screenshot ·??·?®·?ç ·?¢·?ª·?ç ·?ù·?≠·?• ·?ê·?†·?≠,5,4/4/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
before it was smooth and good. this time after the new update in 2025 i can not make screenshot of my recite. even the downlod button is very delayed in putting my recite in my gallery for simple proof. please fix this i am unable to show proof of payment to my clients. thankyou.,3,4/4/2025,Commercial Bank of Ethiopia,Google Play,0.4601,Positive
cool ‚ù§,4,4/4/2025,Commercial Bank of Ethiopia,Google Play,0.7579,Positive
Best app,5,4/4/2025,Commercial Bank of Ethiopia,Google Play,0.6369,Positive
best banking App,4,4/3/2025,Commercial Bank of Ethiopia,Google Play,0.6369,Positive
satisfied,5,4/3/2025,Commercial Bank of Ethiopia,Google Play,0.4215,Positive
this app is very necessary app many people found it,5,4/3/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
cbe very active Bank I'm using CBE app very very satisfaction,5,4/3/2025,Commercial Bank of Ethiopia,Google Play,0.7554,Positive
It made life alot easier. I cant even imagine having to make all those transactions in person. So this app was crucial for me. Very good app. well done.,5,4/3/2025,Commercial Bank of Ethiopia,Google Play,0.8104,Positive
perfect,5,4/3/2025,Commercial Bank of Ethiopia,Google Play,0.5719,Positive
thankyou,5,4/2/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
I Like it,5,4/2/2025,Commercial Bank of Ethiopia,Google Play,0.3612,Positive
"I don't understand the reason, why I need to disable developer options to access the app, it has no security risks nor does it hinder the app's functionalities. This goes out to the dev, I hope your life is filled with inconveniences.",1,4/2/2025,Commercial Bank of Ethiopia,Google Play,0.3975,Positive
smart app,5,4/2/2025,Commercial Bank of Ethiopia,Google Play,0.4019,Positive
isin ga'a,2,4/2/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
it's great,5,4/2/2025,Commercial Bank of Ethiopia,Google Play,0.6249,Positive
very good app and stars faction with work,5,4/2/2025,Commercial Bank of Ethiopia,Google Play,0.4927,Positive
It is excelent,5,4/1/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
Smart,5,4/1/2025,Commercial Bank of Ethiopia,Google Play,0.4019,Positive
·?†·?®·??·?© ·?†·ç?·?∞·?µ ·?•·?®·?†·?®·??·?ù ·?ê·?ç ·??·?ê·??·?© ·?•·?≠ ·?µ·??·??·?ù ·?≠·??·??·?ç ·?•·?? ·?ù·?? ·??·??·??·?µ ·ç?·?ç·?? ·??·?∞·??·?π ·??·??·?? ·?º·?ç·?Æ·??·?ç ?•∫?•∫?•∫,3,4/1/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
very interesting app,5,4/1/2025,Commercial Bank of Ethiopia,Google Play,0.4576,Positive
wow.......cbe.....keep it up.....!!!!!!,5,4/1/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
·??·??·?? ·??·?£·?¢ ·?•·?? ·??·?≠·??·?µ·?? ·??·??·?ç ·?®·??·?´·?∞·?≠·?? ·?¢·?µ·?¨·?≤·?´ ·?´·?? ·ç?·?≠·??·??·?µ ·?†·ç?·?ç·?¨·?Ω·??·?Ω ·?Å·?? ·?≠·?? ·?≠·??·?´·?ç,5,4/1/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
Excellent??èapp,5,4/1/2025,Commercial Bank of Ethiopia,Google Play,0.5719,Positive
the most useful,5,4/1/2025,Commercial Bank of Ethiopia,Google Play,0.4927,Positive
I am more satisfied in this app . More sure you have to secure.,4,4/1/2025,Commercial Bank of Ethiopia,Google Play,0.7956,Positive
Easy to use,5,4/1/2025,Commercial Bank of Ethiopia,Google Play,0.4404,Positive
"very good, but sometimes NUR CBE comes without my consent. even if I choose locked, it appears",4,4/1/2025,Commercial Bank of Ethiopia,Google Play,0.0252,Neutral
Excellent !!!,5,4/1/2025,Commercial Bank of Ethiopia,Google Play,0.6784,Positive
always we relay on,5,4/1/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
I'm lucky to have this??è thank you CBE.,5,4/1/2025,Commercial Bank of Ethiopia,Google Play,0.6486,Positive
it's need more improvement like Tellbirr.,4,4/1/2025,Commercial Bank of Ethiopia,Google Play,0.7245,Positive
goode app,5,4/1/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
a very nice app.??ç??ç??ç,5,4/1/2025,Commercial Bank of Ethiopia,Google Play,0.4754,Positive
safe easy & fast,5,4/1/2025,Commercial Bank of Ethiopia,Google Play,0.7003,Positive
it's good app,5,4/1/2025,Commercial Bank of Ethiopia,Google Play,0.4404,Positive
It is veary useful app but screen shout was impossible .solve this problem,5,4/1/2025,Commercial Bank of Ethiopia,Google Play,-0.2588,Negative
·?•·?© ·?ê·?ç,5,4/1/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
·?•·??·?ç ·?†·?£·?ù ·?•·?© ·?†·ç?,5,4/1/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
·?†·?£·?ù ·??·?™·çç ·?ê·?ç ·?ç·?? ·?•·?≠ ·?†·??·?∞·??·??·çç·?†·?µ ·??·??·?µ ·?∞·??·??·?∑·?ç ·?≠·??·?ç ·?•·??·ç? ·??·?ç·?≠·?± ·?≠·?∞·?≠·?≥·?ç ·?ç·?? ·?†·?≠·??·??·?µ·?ù,5,4/1/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
suitable app,4,4/1/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
Dear cbe this app is not comparable with 21century and pls try to solve it.?????????,1,4/1/2025,Commercial Bank of Ethiopia,Google Play,0.5719,Positive
best transaction method of financial,5,4/1/2025,Commercial Bank of Ethiopia,Google Play,0.6369,Positive
#CBE is Now going to on the right Pathway/track/!! Thank you CBE one step ahead on payment platform app!!,5,4/1/2025,Commercial Bank of Ethiopia,Google Play,0.5673,Positive
It literarily don't work at all,4,4/1/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
good give us plus,5,4/1/2025,Commercial Bank of Ethiopia,Google Play,0.4404,Positive
"Very good application. However, I have one functionality recommendation. What if you let the app transfer money to any telebirr account as for MPESA? By the way, I am not the only one to ask this. Thank you!",4,4/1/2025,Commercial Bank of Ethiopia,Google Play,0.7476,Positive
before update it was able to screenshot while after update I can't able to screenshot the transfere details,4,4/1/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
Tnc Cbe,5,4/1/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
it is good app. But you have integrate cbe with cbe birr. to allow cardless withdrawal directly from our accout!,4,3/31/2025,Commercial Bank of Ethiopia,Google Play,0.5778,Positive
great apps,5,3/31/2025,Commercial Bank of Ethiopia,Google Play,0.6249,Positive
Excellent,5,3/31/2025,Commercial Bank of Ethiopia,Google Play,0.5719,Positive
Great app!,4,3/31/2025,Commercial Bank of Ethiopia,Google Play,0.6588,Positive
CBE,5,3/31/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
very good ??ç ??è,5,3/31/2025,Commercial Bank of Ethiopia,Google Play,0.4927,Positive
great when it works,5,3/31/2025,Commercial Bank of Ethiopia,Google Play,0.6249,Positive
"the app is very good, but why screenshots is impossible?",5,3/31/2025,Commercial Bank of Ethiopia,Google Play,0.2724,Positive
excellent match application,5,3/31/2025,Commercial Bank of Ethiopia,Google Play,0.5719,Positive
The Best app??ç??ç??ç,5,3/31/2025,Commercial Bank of Ethiopia,Google Play,0.9217,Positive
excellent app,5,3/31/2025,Commercial Bank of Ethiopia,Google Play,0.5719,Positive
easy to use and user friendly,5,3/31/2025,Commercial Bank of Ethiopia,Google Play,0.7269,Positive
very nice,5,3/31/2025,Commercial Bank of Ethiopia,Google Play,0.4754,Positive
·?†·?™·çç ·?ê·?ç ·?†·?∞·??·?≠ ·?®·?†·?ª·?´ ·?∞·??·?ê·?± ·??·?®·??·??·?° ·?∞·??·?Ω·?∂·??·?ç,3,3/31/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
well software,5,3/31/2025,Commercial Bank of Ethiopia,Google Play,0.2732,Positive
·?•·?© ·?ê·?ç ·?†·??·?≥·??·?¥ ·?µ·?≥·?≠ ·?¢·?´·?∞·?≠·?ç·?ù,4,3/31/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
CBE very good apps,5,3/31/2025,Commercial Bank of Ethiopia,Google Play,0.4927,Positive
"This application fast, secure and more convenient. Thanks CBE",5,3/31/2025,Commercial Bank of Ethiopia,Google Play,0.6786,Positive
excellent service,5,3/31/2025,Commercial Bank of Ethiopia,Google Play,0.5719,Positive
it's best,5,3/31/2025,Commercial Bank of Ethiopia,Google Play,0.6369,Positive
Why didn't you display cash transactions and bank statement in the mobile banking app?,4,3/31/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
Amazing app,5,3/31/2025,Commercial Bank of Ethiopia,Google Play,0.5859,Positive
our legitimate bank,4,3/31/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
Ever and never seen this kind of app I proud my CBE,5,3/31/2025,Commercial Bank of Ethiopia,Google Play,0.4767,Positive
very good and safe for me!,5,3/31/2025,Commercial Bank of Ethiopia,Google Play,0.7683,Positive
it is best bank,5,3/31/2025,Commercial Bank of Ethiopia,Google Play,0.6369,Positive
"very good, but sometimes....",4,3/31/2025,Commercial Bank of Ethiopia,Google Play,0.2724,Positive
·?®·?†·??·?µ ·??·?µ·?™·?´ ·?§·?µ ·??·?≠·?ù ·?µ·?≠·??·?µ ·??·?≠·?ù ·?ç·??·?∞·?• ·?†·?≠·?®·?µ ·??·?? ·?∞·?ç ·?≤·??·?≠ ·?®·??·?™·?ç·?? ·??·?µ·?™·?´ ·?§·?µ ·??·?≠·?ù ·?µ·?≠·??·?µ ·??·?≠·?ù ·?ç·??·?∞·?• ·?•·??·?≤·?´·?≥·?≠ ·?†·?≥·?∞·?≠·??·?ù ? ·?ç·??·?∞·?• ·??·?ç·??·?∞·?• ·??·?≠·?ù ·??·?µ·?≠·??·?µ ·?≤·?®·çç·?ç ·?´·?≥·?´·?ç ·ç¢,5,3/31/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
Why not allowed to pay for fuel?,4,3/31/2025,Commercial Bank of Ethiopia,Google Play,0.0762,Positive
Really! this app is more simple to use at any time in every where also it's transaction quality between the users within the transaction receipt as abank that means this app is our bank on hand in mobile frankly I proud on this bank digital. I have no word to wrote ...... but it's have weakness on poor connection.,5,3/31/2025,Commercial Bank of Ethiopia,Google Play,-0.7644,Negative
·??·??·?? ·?ê·?ç,5,3/31/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
Great version,5,3/31/2025,Commercial Bank of Ethiopia,Google Play,0.6249,Positive
Good and easy to use,5,3/31/2025,Commercial Bank of Ethiopia,Google Play,0.7003,Positive
nice app and fast money transfer,5,3/31/2025,Commercial Bank of Ethiopia,Google Play,0.4215,Positive
Really automated...,5,3/31/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
good App,5,3/31/2025,Commercial Bank of Ethiopia,Google Play,0.4404,Positive
bek betam kelal,5,3/31/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
·?ù·?≠·?• ·?†·ç? ·?ê·?ç ·?∞·??·?Ω·?∂·??·?ç‚ù§‚ù§,3,3/31/2025,Commercial Bank of Ethiopia,Google Play,0.8555,Positive
Recently app keeps closing and the notification after says this app has a bug. Can you make an update please,4,3/31/2025,Commercial Bank of Ethiopia,Google Play,0.3182,Positive
"very good, keep it up",5,3/31/2025,Commercial Bank of Ethiopia,Google Play,0.4927,Positive
there is some issue the process it delay,3,3/31/2025,Commercial Bank of Ethiopia,Google Play,-0.3182,Negative
what an amazing application in Ethiopian Banking industry which is very interested one!,5,3/31/2025,Commercial Bank of Ethiopia,Google Play,0.7955,Positive
interesting,3,3/30/2025,Commercial Bank of Ethiopia,Google Play,0.4019,Positive
simple&fast!!!,5,3/30/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
it is very good app,5,3/30/2025,Commercial Bank of Ethiopia,Google Play,0.4927,Positive
It is very excellent anddynamic plus user friend all in one bank apps of the era. I loved it.,5,3/30/2025,Commercial Bank of Ethiopia,Google Play,0.902,Positive
Very God thanks,5,3/30/2025,Commercial Bank of Ethiopia,Google Play,0.6779,Positive
The sum is good.,3,3/30/2025,Commercial Bank of Ethiopia,Google Play,0.4404,Positive
best of bests,5,3/30/2025,Commercial Bank of Ethiopia,Google Play,0.6369,Positive
am happy thank you CBE?´°,5,3/30/2025,Commercial Bank of Ethiopia,Google Play,0.7351,Positive
it's very nice ??ç.,5,3/30/2025,Commercial Bank of Ethiopia,Google Play,0.4754,Positive
"The history sometimes misses transactions, tranfer to cbe birr debited but not really transferred, We need to really cop up with the world for real. The hacks and security problems, invest on and solve them.",3,3/30/2025,Commercial Bank of Ethiopia,Google Play,0.0772,Positive
Very good,5,3/30/2025,Commercial Bank of Ethiopia,Google Play,0.4927,Positive
halan garidhaa cbe,5,3/30/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
best apps for useing,5,3/30/2025,Commercial Bank of Ethiopia,Google Play,0.6369,Positive
like it,5,3/29/2025,Commercial Bank of Ethiopia,Google Play,0.3612,Positive
Good apps ...But fix the screenshot its not easy like before ......,5,3/29/2025,Commercial Bank of Ethiopia,Google Play,-0.5892,Negative
l love it,5,3/29/2025,Commercial Bank of Ethiopia,Google Play,0.802,Positive
"I am not exaggerating when I say that this application is one of the biggest players in the banking industry. It has simplified a lot of things for the user, even if the bank is in his pocket. But my opinion is (1), when we transfer money, there is a word limit on the (Note) at the end. Why can't we write our reason briefly? I don't understand why it is limited. On the other hand, there is no limit on the bank. Could you explain this? (2), when we pay for water, why is the code not mentioned",5,3/29/2025,Commercial Bank of Ethiopia,Google Play,-0.1408,Negative
in this update why screenshoot is disabled now it's not working,1,3/28/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
"realy I donot seen like this application ! fast ,safe ande confortable",5,3/28/2025,Commercial Bank of Ethiopia,Google Play,0.69,Positive
Excellent but needed upgrading!,5,3/28/2025,Commercial Bank of Ethiopia,Google Play,0.3903,Positive
goods app!! pleace update this apps??,4,3/28/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
"The latest update prevents taking screenshots, which is really annoying! please allow us to take screenshots! we need it for evidence (particularly, in case of transfer failure!).",1,3/27/2025,Commercial Bank of Ethiopia,Google Play,-0.4814,Negative
Fantastic app! I appreciate it very much,5,3/27/2025,Commercial Bank of Ethiopia,Google Play,0.7644,Positive
Convenient app,5,3/27/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
Doesn't work properly. It crashes some many times. commercial bank of Ethiopia not only the application but also sending money to own CBE birr doesn't get your money in your bank account. forcefully you must wait 3-5 days to get your money back to your account. walk up CBE the world is going to decentralized finance.,1,3/26/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
It crashes multiple times everytime you launch it. Fix it. Edit: crash fixed but screenshots has been disabled. I don't know who thought this was a good idea.,1,3/26/2025,Commercial Bank of Ethiopia,Google Play,0.4588,Positive
why why u remove screen shoot??°??°,2,3/26/2025,Commercial Bank of Ethiopia,Google Play,-0.34,Negative
"I fails mid transaction, No screenshot, download don't work, link shared not working bring back the old app this is usless",1,3/26/2025,Commercial Bank of Ethiopia,Google Play,-0.7215,Negative
very nice one,5,3/26/2025,Commercial Bank of Ethiopia,Google Play,0.4754,Positive
good application,5,3/25/2025,Commercial Bank of Ethiopia,Google Play,0.4404,Positive
problem solver and the best fast app,5,3/25/2025,Commercial Bank of Ethiopia,Google Play,0.3612,Positive
·?ù·?≠·?• ·?†·ç?·??·?®·?Ω·?? ·?ê·?ç ·??·??·??·?• ·??·??·??·?≠·?ù ·??·?ê ·??·??·??·??·?ç·?ù ·?ê·??·?≠ ·?∞·??·?Ω·?∂·??·?ç ·?†·??·?ç ·??·?•·??·?†·?µ,5,3/25/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
Please bring back the screenshot option. The screenshot download option takes like 15 second appear in gallery and most people don't know about it.,3,3/25/2025,Commercial Bank of Ethiopia,Google Play,0.5859,Positive
you must added dark mode options ‚ù?,3,3/25/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
Thank you,5,3/25/2025,Commercial Bank of Ethiopia,Google Play,0.3612,Positive
cbe,5,3/25/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
Ÿ?Ÿ?ÿ™ÿßÿ≤ ÿ¨ÿØÿß ÿ¨ÿØÿß,5,3/24/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
very nice and convenient app,5,3/24/2025,Commercial Bank of Ethiopia,Google Play,0.4754,Positive
there are to many bugs app keeps crashi ng and the update file seems to keep getting worse,2,3/24/2025,Commercial Bank of Ethiopia,Google Play,-0.4767,Negative
??ç??ç??ç,5,3/24/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
Great experience so far but why this app ain't working while developer mode is on?,4,3/24/2025,Commercial Bank of Ethiopia,Google Play,0.3716,Positive
why did the screen shot stopped ?????,3,3/24/2025,Commercial Bank of Ethiopia,Google Play,-0.4329,Negative
it's genuine app..,5,3/24/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
okay ?????ç,5,3/24/2025,Commercial Bank of Ethiopia,Google Play,0.7925,Positive
it's a very good application but sometimes it takes a long time to synchronize,4,3/23/2025,Commercial Bank of Ethiopia,Google Play,0.2724,Positive
commercial dank...,5,3/23/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
it's not working,3,6/5/2025,Bank of Abyssinia,Google Play,0,Neutral
"Hello, I‚??m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says ‚??BoaMobile closed because this app has a bug.‚?ù I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",1,6/3/2025,Bank of Abyssinia,Google Play,-0.1884,Negative
exceptional,5,6/3/2025,Bank of Abyssinia,Google Play,0,Neutral
BoA Mobile good bank,5,6/2/2025,Bank of Abyssinia,Google Play,0.4404,Positive
this is worest app 24/7 loading,1,6/1/2025,Bank of Abyssinia,Google Play,0,Neutral
This App is not interest for Android phone Please update it .,1,6/1/2025,Bank of Abyssinia,Google Play,-0.0464,Neutral
BoA system is confartable,5,6/1/2025,Bank of Abyssinia,Google Play,0,Neutral
"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",1,5/27/2025,Bank of Abyssinia,Google Play,-0.8491,Negative
Good service.,3,5/25/2025,Bank of Abyssinia,Google Play,0.4404,Positive
the app crush frequently,1,5/24/2025,Bank of Abyssinia,Google Play,-0.1531,Negative
You guys keeps getting worst,1,5/22/2025,Bank of Abyssinia,Google Play,-0.6249,Negative
"This app is a joke. It crashes more than it works, takes forever to load, and half the features are just decorative at this point. Can‚??t log in, can‚??t transfer money, can‚??t even check my balance without it bugging out. To the developer: Are you actually trying to make this work, or is this some kind of social experiment to test our patience? Did you build this in your sleep? Because it definitely looks like it. If this is your idea of a functional app, maybe consider a different career path??è",1,5/21/2025,Bank of Abyssinia,Google Play,0.7757,Positive
BoA,2,5/20/2025,Bank of Abyssinia,Google Play,0,Neutral
but not opening on android,4,5/19/2025,Bank of Abyssinia,Google Play,0,Neutral
Worst App ever. Totally unreliable. And it didn't work at all for the last 4 months.,1,5/18/2025,Bank of Abyssinia,Google Play,-0.6249,Negative
·??·??·?¨ ·?®·?†·?∞,5,5/14/2025,Bank of Abyssinia,Google Play,0,Neutral
"this app does no work on Samsung a51, it just gives a preview of the logo",1,5/11/2025,Bank of Abyssinia,Google Play,-0.296,Negative
"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",5,5/10/2025,Bank of Abyssinia,Google Play,-0.4639,Negative
liking this application good ??ç,5,5/7/2025,Bank of Abyssinia,Google Play,0.6808,Positive
"This app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and OTP sent not work",1,5/6/2025,Bank of Abyssinia,Google Play,-0.775,Negative
it's really good ??ç,5,4/23/2025,Bank of Abyssinia,Google Play,0.4927,Positive
Bad app . it stuck when you open and noting WORKS.,1,4/23/2025,Bank of Abyssinia,Google Play,-0.6705,Negative
"the app isn't working after it asked me the password it starts loading, but it doesn't open",3,4/20/2025,Bank of Abyssinia,Google Play,0,Neutral
It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,1,4/19/2025,Bank of Abyssinia,Google Play,-0.6571,Negative
yideg,1,4/18/2025,Bank of Abyssinia,Google Play,0,Neutral
·?†·?≠·?®·çç·?µ·?ù ·?•·?Æ,1,4/17/2025,Bank of Abyssinia,Google Play,0,Neutral
great boa,5,4/10/2025,Bank of Abyssinia,Google Play,0.6249,Positive
boa of mobile backing,5,4/9/2025,Bank of Abyssinia,Google Play,0.0258,Neutral
faster bank of Abissinya,5,4/8/2025,Bank of Abyssinia,Google Play,0,Neutral
i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug,1,4/8/2025,Bank of Abyssinia,Google Play,-0.4215,Negative
it just doesn't work...so frustrating,1,4/7/2025,Bank of Abyssinia,Google Play,0.3412,Positive
like,5,4/6/2025,Bank of Abyssinia,Google Play,0.3612,Positive
it's not work correctly... you must have update it,1,4/6/2025,Bank of Abyssinia,Google Play,0,Neutral
"the app gets a considerable improvements like language , QR scanner and unlimited transfers survice. but BOA Please do alot on its fastness and convenient when we login and making a transactions.",5,4/4/2025,Bank of Abyssinia,Google Play,0.6844,Positive
after i typed in my password it says successfully logged out ...and goes back to the first page,2,4/4/2025,Bank of Abyssinia,Google Play,0.4939,Positive
good but they don't update enough don't add new things,3,4/4/2025,Bank of Abyssinia,Google Play,0.2382,Positive
thank you,5,4/2/2025,Bank of Abyssinia,Google Play,0.3612,Positive
it doesn't work period z slowest mobile banking ever i would rather use *815#,1,4/1/2025,Bank of Abyssinia,Google Play,0,Neutral
"after activated the application it not allowed to sign , automatically it is turn off In my phone, why ?",1,3/31/2025,Bank of Abyssinia,Google Play,0,Neutral
this version is not working for me I cannot even buy card. I cannot send money,1,3/30/2025,Bank of Abyssinia,Google Play,0,Neutral
"It can't actively on initialization, it says incorrect OTP getting the exact OTP",1,3/29/2025,Bank of Abyssinia,Google Play,-0.2411,Negative
always problematic hardly works,1,3/26/2025,Bank of Abyssinia,Google Play,-0.4404,Negative
considering the fact the bank is huge this app really bad you could do better,1,3/25/2025,Bank of Abyssinia,Google Play,0.1045,Positive
"worst app and Bank ever u be ashamed, scammer",1,3/24/2025,Bank of Abyssinia,Google Play,-0.802,Negative
great BoA,5,3/22/2025,Bank of Abyssinia,Google Play,0.6249,Positive
i have went to the bank so many times because i couldn't make any transaction i can only see my balance nothing else so what is the point of having mobile banking if i can't make any transaction with it please work in that,1,3/21/2025,Bank of Abyssinia,Google Play,0.3182,Positive
there is no speed,1,3/19/2025,Bank of Abyssinia,Google Play,-0.296,Negative
"For anyone who wants to download it, just don't!!!",1,3/19/2025,Bank of Abyssinia,Google Play,0,Neutral
wonderful,5,3/19/2025,Bank of Abyssinia,Google Play,0.5719,Positive
all worck,5,3/19/2025,Bank of Abyssinia,Google Play,0,Neutral
Loved it,5,3/14/2025,Bank of Abyssinia,Google Play,0.5994,Positive
Wow,1,3/14/2025,Bank of Abyssinia,Google Play,0.5859,Positive
"Edit: New bug, app not letting me type in my otp codes. Shameful Why does this app not allow me to use it while having developer options on? Did y'all consider that I might, perhaps, be an actual developer? Why am I expected to toggle the option on and off just to bank (restarting my phone when I do)? Why is the message labled as somthing that will ""smoothen"" the experience? This is like the most ""security consultant"" thing to implement in an app. Please invest in actual security, not this mess.",1,3/12/2025,Bank of Abyssinia,Google Play,0.7962,Positive
Improved to be the best,5,3/11/2025,Bank of Abyssinia,Google Play,0.8074,Positive
"Decent, but there problems sometimes it says error When i transfer money but infact it transferred because of this bug i transferred 2 times instead of 1 and also we can't transfer money to others telebirr acc we only can to our self BOE Dev fix this !!!",3,3/11/2025,Bank of Abyssinia,Google Play,-0.8392,Negative
BoA Greqt Ethiopian bank.,5,3/11/2025,Bank of Abyssinia,Google Play,0,Neutral
"The bug is still there,the app crashes every time i try to log in, especially in old phones like my Galaxy A32",1,3/10/2025,Bank of Abyssinia,Google Play,0.3612,Positive
Almost better compared to cbe where it is not qualified for,4,3/9/2025,Bank of Abyssinia,Google Play,0.3832,Positive
what awesome apps. it is very simple to use and more much important apps.,5,3/9/2025,Bank of Abyssinia,Google Play,0.7334,Positive
Wonderfull app,5,3/8/2025,Bank of Abyssinia,Google Play,0,Neutral
i can't use this app why?,5,3/7/2025,Bank of Abyssinia,Google Play,0,Neutral
Worst mobile banking app I ever experienced I was blaming other apps but comparing with this they're too much better!!!! It clashes it takes much longer time to login while loading in short it's a complete of trash,1,3/6/2025,Bank of Abyssinia,Google Play,0.3331,Positive
bro the worst app made by human kind!! as a software engineer it make me so sad seeing enterprise as big as BOA make apps like this. it is a disgrace for our country!!,1,3/5/2025,Bank of Abyssinia,Google Play,-0.8205,Negative
AGA B Girja Miss language of admin Afaan oromo & other Itoophiyaa languages,1,3/4/2025,Bank of Abyssinia,Google Play,-0.1531,Negative
"I downloaded the app for the first time while reading other customers reviews and as soon as i installed and opened the app it closes back automatically, what unserious bank, now i uninstalled the app immediately",1,3/3/2025,Bank of Abyssinia,Google Play,0,Neutral
It has good features but sometimes it doesn't work...0,1,3/2/2025,Bank of Abyssinia,Google Play,0.2382,Positive
Very poor proformance,1,3/1/2025,Bank of Abyssinia,Google Play,-0.5256,Negative
It's not opening. Really frustrating,1,3/1/2025,Bank of Abyssinia,Google Play,0.3865,Positive
Verry Amazing App from all IB,5,3/1/2025,Bank of Abyssinia,Google Play,0.5859,Positive
Not working on this days,1,2/26/2025,Bank of Abyssinia,Google Play,0,Neutral
Thank you BoA,5,2/23/2025,Bank of Abyssinia,Google Play,0.3612,Positive
best banking app in the wworld,5,2/22/2025,Bank of Abyssinia,Google Play,0.6369,Positive
Nice app and it's easy to use,5,2/21/2025,Bank of Abyssinia,Google Play,0.6908,Positive
"please add language in the apps setting(amharic afan oromo, tigniya,and others) sometimes bank to bank transfer is not available through time and even if if it is available not reachable‚?¶it is serious issue!",1,2/15/2025,Bank of Abyssinia,Google Play,0.4242,Positive
This is help full i like ittttt,5,2/14/2025,Bank of Abyssinia,Google Play,0.6369,Positive
The is not functional at all?,2,2/12/2025,Bank of Abyssinia,Google Play,0,Neutral
Best bank,5,2/8/2025,Bank of Abyssinia,Google Play,0.6369,Positive
Make it easy and convienient to use and perfect for all to high prefrence and choice.,3,2/7/2025,Bank of Abyssinia,Google Play,0.765,Positive
??™??π??™??π??™??π??™??π??™??π??™??π??ç??ç??ç??ç??ç??ç??ç,5,2/4/2025,Bank of Abyssinia,Google Play,0,Neutral
I have been using this app for two years.It is amazing.,5,2/1/2025,Bank of Abyssinia,Google Play,0.5859,Positive
Good ??ç,5,1/31/2025,Bank of Abyssinia,Google Play,0.4404,Positive
Sad experience,1,1/30/2025,Bank of Abyssinia,Google Play,-0.4767,Negative
